City,Code1,Code2
Aulon,FR,AO3
Aulus-les-Bains,FR,AUA
Aumagne,FR,AM2
Aumale,FR,AMU
Aumelas,FR,YUH
Auménancourt,FR,AL8
Aumont-Aubrac,FR,AM5
Aumur,FR,A9U
Aunay-en-Bazois,FR,N68
Aunay-sur-Odon,FR,ASO
Auneau,FR,AUN
Auneuil,FR,AUU
Aups,FR,PUS
Auray,FR,ZEG
Aurec-sur-Loire,FR,ASL
Aureilhan,FR,AH2
Aurensan,FR,U3R
Auriac-sur-Vendinelle,FR,HV7
Aurice,FR,S6Q
Aurignac,FR,YAU
Aurillac,FR,AUR
Auriol,FR,AU7
Auriolles,FR,A9E
Aurions-Idernes,FR,PID
Auron,FR,AUO
Aurons,FR,AU3
Auros,FR,AV2
Auroux,FR,UAX
Aussac-Vadalle,FR,AUQ
Aussillon,FR,ASN
Aussonce,FR,XAO
Aussonne,FR,UNN
Autechaux,FR,AHX
Autechaux-Roide,FR,AX7
Auterive,FR,AUW
Auterive,FR,A7R
Auterive,FR,AVE
Auterrive,FR,TVE
Autet,FR,AUE
Autevielle-Saint-Martin-Bideren,FR,AMD
Authe,FR,U6H
Autheuil-Authouillet,FR,JUY
Authevernes,FR,A3V
Authie,FR,D7H
Authieux-Ratiéville,FR,8EE
Authon,FR,4AU
Authon-du-Perche,FR,APC
Authon-la-Plaine,FR,APQ
Authumes,FR,5QM
Autichamp,FR,AU2
Autignac,FR,MXK
Autrèche,FR,AH5
Autrêches,FR,ZBK
Autreville,FR,AUV
Autreville-sur-Moselle,FR,3AM
Autrey,FR,AQY
Autrey-lès-Gray,FR,AYG
Autruy-sur-Juine,FR,AYJ
Autry-Issards,FR,A5U
Autry-le-Châtel,FR,AU4
Autun,FR,AUT
Auvers,FR,UV2
Auverse,FR,8EX
Auvers-Saint-Georges,FR,VTG
Auvers-sous-Montfaucon,FR,M72
Auvers-sur-Oise,FR,AEO
Auvillar,FR,UVA
Auxelles-Bas,FR,AU9
Auxerre,FR,AUF
Auxey-Duresses,FR,AD2
Auxi-le-Château,FR,ACU
Auxon,FR,AUX
Auxonne,FR,ZKG
Auxy,FR,A8U
Auzainvilliers,FR,AL9
Auzat,FR,3SA
Auzat-Sur-Allier,FR,63Z
Auzebosc,FR,A76
Auzécourt,FR,AUZ
Auzeville-Tolosane,FR,AZT
Auzits,FR,AZS
Auzon,FR,ZON
Auzouer-en-Touraine,FR,AZW
Avail,FR,AAL
Availles,FR,SZW
Availles-en-Châtellerault,FR,ICC
Availles-Limouzine,FR,AL3
Availles-sur-Seiche,FR,AS4
Avallon,FR,AVL
Avançon,FR,4AH
Avanton,FR,ATO
Avelin,FR,AVI
Avenay-Val-d'Or,FR,AV5
Avensac,FR,AJC
Avensan,FR,A5N
Averdoingt,FR,7AT
Avermes,FR,AVQ
Averton,FR,AZV
Avesnelles,FR,AEN
Avesnes,FR,AEE
Avesnes-le-Comte,FR,ACE
Avesnes-les-Aubert,FR,ABT
Avesnes-sur-Helpe,FR,ASH
Avessac,FR,XAV
Avezac-Prat-Lahitte,FR,APH
Avèze,FR,AVZ
Avignon,FR,2JR
Avignon,FR,AVN
Avignonet,FR,IGO
Avignonet-Lauragais,FR,AOE
Avilley,FR,YXV
Avilly-Saint-Léonard,FR,ALY
Avion,FR,AVO
Avirey-Lingey,FR,YRV
Avize,FR,AV3
Avoine,FR,OIN
Avoine,FR,AV9
Avoise,FR,AOI
Avon,FR,AXN
Avon-les-Roches,FR,7NH
Avord,FR,AOR
Avoriaz,FR,AVF
Avoudrey,FR,AVD
Avrainville,FR,AVK
Avranches,FR,AVR
Avrechy,FR,AVJ
Avressieux,FR,A8X
Avricourt,FR,ICT
Avrieux,FR,AR6
Avrigney,FR,A2H
Avrigny,FR,A5V
Avrillé,FR,ARI
Avrillé-les-Ponceaux,FR,AVP
Awoingt,FR,AWO
Axat,FR,XTT
Ax-les-Thermes,FR,XLT
Ay,FR,AYW
Aydat,FR,AY6
Aydie,FR,AY2
Aydoilles,FR,YDO
Ayguemorte-les-Graves,FR,AV4
Ayguesvives,FR,MPG
Ayguetinte,FR,AGN
Ayherre,FR,AH4
Aynac,FR,AYN
Ayse,FR,YE7
Ay-sur-Moselle,FR,AYM
Aytré,FR,AYT
Ayzac-Ost,FR,AZO
Ayzieu,FR,AZ9
Azas,FR,G9R
Azay-le-Brûlé,FR,G9F
Azay-le-Rideau,FR,XAZ
Azay-sur-Cher,FR,AZY
Azé,FR,AZ3
Azé,FR,AZ6
Azé,FR,AZ5
Azerailles,FR,AZE
Azereix,FR,AZP
Azillanet,FR,MXP
Azille,FR,ZLE
Azincourt,FR,A5Z
Azy-sur-Marne,FR,AS5
Baccarat,FR,BAC
Baccon,FR,BCC
Bacilly,FR,BIY
Bacqueville-en-Caux,FR,BAQ
Baden,FR,NOP
Badens,FR,BHX
Badinières,FR,BAD
Baerenthal,FR,BTA
Bagard,FR,BJX
Bagas,FR,BGA
Bagat,FR,BKX
Bâgé-la-Ville,FR,VB8
Bâgé-le-Châtel,FR,BLC
Bages,FR,BGS
Bages,FR,BZG
Bagnac-sur-Célé,FR,BGC
Bagneaux,FR,BGN
Bagneaux-sur-Loing,FR,BLN
Bagnères-de-Bigorre,FR,BAB
Bagnères-de-Luchon,FR,BDC
Bagneux,FR,B6X
Bagneux,FR,BQM
Bagneux-la-Fosse,FR,BFZ
Bagnizeau,FR,BG7
Bagnoles,FR,HI6
Bagnoles-de-l'Orne,FR,BDN
Bagnolet,FR,BAG
Bagnols,FR,WBG
Bagnols-en-Forêt,FR,BSF
Bagnols-les-Bains,FR,BGO
Bagnols-sur-Cèze,FR,BCE
Baguer-Morvan,FR,BM5
Baho,FR,OHH
Baignes-Sainte-Radegonde,FR,BDG
Baigneux-les-Juifs,FR,BXJ
Baillargues,FR,BLS
Baillé,FR,QFI
Bailleau-le-Pin,FR,B28
Baillet-en-France,FR,BAF
Bailleul,FR,BIU
Bailleul,FR,BAO
Bailleul,FR,BIL
Bailleul-sur-Thérain,FR,BST
Bailleulval,FR,BU6
Bailleval,FR,BVL
Bailly,FR,BYI
Bailly,FR,YLI
Bailly-Carrois,FR,YCR
Bailly-Romainvilliers,FR,BY6
Baincthun,FR,BO7
Bain-de-Bretagne,FR,ANB
Bains,FR,IUR
Bains-les-Bains,FR,IBA
Bains-sur-Oust,FR,B2U
Bainville-aux-Miroirs,FR,BMI
Bais,FR,QBS
Bais,FR,BMQ
Baisieux,FR,BIX
Baixas,FR,BXS
Baizieux,FR,QBU
Bajonnette,FR,BJT
Baladou,FR,AAD
Balagny-sur-Thérain,FR,BYH
Balan,FR,BXN
Balanod,FR,BND
Balaruc-les-Bains,FR,BLF
Balbigny,FR,BBY
Balbronn,FR,BB2
Baldenheim,FR,BHM
Baldersheim,FR,ALH
Baleycourt,FR,BYC
Baleyssagues,FR,BYG
Balham,FR,BHK
Balizac,FR,7ZC
Ballainvilliers,FR,BVD
Ballaison,FR,2BS
Ballancourt-sur-Essonne,FR,BAL
Ballan-Miré,FR,BLM
Ballée,FR,ZBA
Balleroy,FR,BLY
Ballons,FR,D2R
Balloy,FR,BYW
Balma,FR,BMP
Balnot-sur-Laignes,FR,BNX
Balschwiller,FR,B9R
Balsièges,FR,BIE
Balzac,FR,ZAC
Banassac,FR,NAS
Bancourt,FR,B4N
Ban-de-Laveline,FR,NBL
Bandol,FR,XBD
Baneuil,FR,BNJ
Bangor,FR,BNK
Bannalec,FR,BNF
Bannay,FR,NNA
Bannes,FR,B2S
Banneville-sur-Ajon,FR,BA5
Bannost-Villegagnon,FR,AON
Banteux,FR,NXX
Bantouzelle,FR,NTZ
Bantzenheim,FR,BAN
Banvillars,FR,XBV
Banyuls-sur-Mer,FR,UYR
Baons-le-Comte,FR,GZA
Bapaume,FR,BAP
Bapeaume,FR,3ME
Baracé,FR,493
Baraqueville,FR,BQV
Baratier,FR,AW7
Barbaggio,FR,XXG
Barbâtre,FR,BBW
Barbazan-Debat,FR,BZ4
Barbechat,FR,JOT
Barbentane,FR,BBE
Barberaz,FR,BZ7
Barberey-Saint-Sulpice,FR,RBY
Barbery,FR,B8Y
Barbezières,FR,AEZ
Barbezieux-Saint-Hilaire,FR,BAH
Barbières,FR,BIR
Barbonne-Fayel,FR,BFV
Barby,FR,BBX
Barcelonnette,FR,BAE
Barembach,FR,AZC
Barentin,FR,BTN
Barenton,FR,RNT
Barenton-Bugny,FR,BBG
Barfleur,FR,2GX
Barges,FR,O22
Barisey-la-Côte,FR,YLC
Barjac,FR,BJC
Barjols,FR,BJJ
Barjouville,FR,BJV
Bar-le-Duc,FR,BLD
Barleux,FR,ZBR
Barlin,FR,BLI
Barnay,FR,RNA
Barneville-Carteret,FR,BNV
Baron,FR,BN7
Baron,FR,BNZ
Baronville,FR,ONI
Baroville,FR,3EJ
Barr,FR,BAR
Barraux,FR,GD2
Barret,FR,BRK
Barrou,FR,XBR
